run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
82,"([113, 146, 173, 224], np.float64(1.0650877409903037))","([113, 146, 173, 224], np.float64(0.2168263589802923))","([113, 146, 173, 224], np.float64(0.04705224915278451))","([113, 146, 173, 224], np.float64(0.04762108120052109))"
83,"([17, 109, 187, 224], np.float64(0.920600988373578))","([109], np.float64(26.875511276844836))","([17, 109, 187, 224], np.float64(0.09897212782475404))","([17, 109, 187, 224], np.float64(0.0995001936718349))"
84,"([6, 27, 120, 199], np.float64(0.04242973146945428))","([6, 27, 120], np.float64(9.182767703668649))","([6, 27, 120, 199], np.float64(0.012944700585545253))","([6, 27, 120, 199], np.float64(0.014010560698235747))"
85,"([13, 66, 118, 215], np.float64(0.2603066625175815))","([13, 66, 118, 215], np.float64(0.20985061285521966))","([13, 66, 118, 215], np.float64(0.06171973980934728))","([13, 66, 118, 215], np.float64(0.060283589491393515))"
86,"([64, 77, 200, 229], np.float64(0.21695662394753906))","([64, 77, 200, 229], np.float64(0.06124623701122583))","([64, 77, 200, 229], np.float64(0.05348881357728277))","([64, 77, 200, 229], np.float64(0.05310902715988094))"
87,"([41, 57, 139, 170], np.float64(0.5003892131625024))","([41, 57, 139, 170], np.float64(0.0924752213801762))","([41, 57, 129, 139, 170], np.float64(0.27670706498007147))","([41, 57, 139, 170], np.float64(0.06390946873887142))"
88,"([166, 206, 244, 248], np.float64(1.1008294128882685))","([244], np.float64(27.48334804271466))","([166, 206, 244, 248], np.float64(0.06727371506234513))","([244, 248], np.float64(19.948464258521977))"
89,"([22, 109, 117, 187], np.float64(0.8334395036715919))","([22, 109, 117, 187], np.float64(0.615112270251027))","([22, 109, 117, 187], np.float64(0.1168557056014944))","([22, 109, 117, 187], np.float64(0.11512401948067322))"
90,"([3, 148, 170, 199], np.float64(0.14834988595738116))","([3, 148, 170, 199], np.float64(0.08644970086235493))","([3, 148, 170, 199], np.float64(0.059246172318718454))","([3, 148, 170, 199], np.float64(0.06016814190053829))"
91,"([58, 141, 187, 228], np.float64(1.3222013702038766))","([58, 141, 187, 228], np.float64(0.43911231658307837))","([58, 141, 187, 228], np.float64(0.037298757131044115))","([58, 141, 187, 228], np.float64(0.038125451518339494))"
92,"([14, 24, 185, 213], np.float64(0.32186659777803184))","([14, 24, 185, 213], np.float64(0.1070331215879298))","([14, 24, 185, 213], np.float64(0.08766499299011488))","([14, 24, 185, 213], np.float64(0.08591989754226831))"
93,"([9, 11, 74, 221], np.float64(0.24816908716228914))","([9, 11, 74, 221], np.float64(0.17578755960676234))","([9, 11, 74, 221], np.float64(0.07579153525670572))","([9, 11, 74, 221], np.float64(0.07817210239185295))"
94,"([61, 80, 137, 210], np.float64(1.0310070324472276))","([137], np.float64(27.68551765375116))","([61, 80, 137, 210], np.float64(0.05927011836449822))","([137], np.float64(27.23049682036452))"
95,"([22, 69, 104, 178], np.float64(0.5778561888058943))","([104, 178], np.float64(17.156393025170402))","([22, 69, 104, 178], np.float64(0.07265629732492425))","([22, 69, 104, 178], np.float64(0.07254105013936493))"
96,"([26, 115, 176, 217], np.float64(0.11485685928570837))","([26, 115, 176, 217], np.float64(0.11994550939368821))","([26, 115, 176, 217], np.float64(0.09741915344140363))","([26, 115, 176, 217], np.float64(0.10069149414479377))"
97,"([103, 144, 215, 246], np.float64(0.04906582129901392))","([103, 144, 215, 246], np.float64(0.0683786970565716))","([103, 144, 215, 246], np.float64(0.015817597483515064))","([103, 144, 215, 246], np.float64(0.01569887127708106))"
98,"([90, 94, 204, 235], np.float64(0.22919273218023728))","([90, 94], np.float64(17.487691753955282))","([90, 94, 204, 235], np.float64(0.03746302631440198))","([90, 94, 204, 235], np.float64(0.03863028031185051))"
99,"([7, 67, 150, 231], np.float64(0.5870830035506684))","([67], np.float64(30.37398629213236))","([7, 67, 150, 231], np.float64(0.16419068195192493))","([7, 67, 150, 231], np.float64(0.16230706936932454))"
